id,predicted_emotion,predicted_intensity,recommended_action,recommended_time
10001,focused,2.68,Reflect quietly,tonight
10002,restless,3.48,Reflect quietly,tonight
10003,focused,3.36,Reflect quietly,tonight
10004,focused,2.78,Reflect quietly,tonight
10005,restless,3.27,Reflect quietly,tonight
10006,mixed,3.25,Reflect quietly,tonight
10007,restless,3.72,Reflect quietly,tonight
10008,overwhelmed,3.28,Reflect quietly,tonight
10009,restless,2.88,Reflect quietly,tonight
10010,overwhelmed,3.26,Reflect quietly,tonight
10011,overwhelmed,2.92,Reflect quietly,tonight
10012,restless,3.0,Reflect quietly,tonight
10013,restless,2.79,Reflect quietly,tonight
10014,focused,3.35,Reflect quietly,tonight
10015,calm,3.58,Reflect quietly,tonight
10016,neutral,3.69,Reflect quietly,tonight
10017,mixed,3.72,Reflect quietly,tonight
10018,mixed,3.08,Reflect quietly,tonight
10019,focused,2.99,Reflect quietly,tonight
10020,calm,3.3,Reflect quietly,tonight
10021,overwhelmed,2.78,Reflect quietly,tonight
10022,calm,2.78,Reflect quietly,tonight
10023,neutral,2.75,Reflect quietly,tonight
10024,neutral,3.07,Reflect quietly,tonight
10025,calm,3.12,Reflect quietly,tonight
10026,overwhelmed,2.59,Reflect quietly,tonight
10027,mixed,3.41,Reflect quietly,tonight
10028,mixed,3.07,Reflect quietly,tonight
10029,overwhelmed,2.96,Reflect quietly,tonight
10030,calm,3.08,Reflect quietly,tonight
10031,focused,3.07,Reflect quietly,tonight
10032,mixed,3.13,Reflect quietly,tonight
10033,overwhelmed,1.99,Reflect quietly,tonight
10034,neutral,2.96,Reflect quietly,tonight
10035,focused,3.54,Reflect quietly,tonight
10036,neutral,3.68,Reflect quietly,tonight
10037,mixed,2.76,Reflect quietly,tonight
10038,focused,2.95,Reflect quietly,tonight
10039,mixed,3.13,Reflect quietly,tonight
10040,mixed,3.7,Reflect quietly,tonight
10041,overwhelmed,3.52,Reflect quietly,tonight
10042,neutral,3.38,Reflect quietly,tonight
10043,restless,2.56,Reflect quietly,tonight
10044,focused,2.77,Reflect quietly,tonight
10045,restless,3.57,Reflect quietly,tonight
10046,focused,2.77,Reflect quietly,tonight
10047,focused,3.53,Reflect quietly,tonight
10048,calm,3.36,Reflect quietly,tonight
10049,restless,2.9,Reflect quietly,tonight
10050,restless,2.75,Reflect quietly,tonight
10051,calm,2.71,Reflect quietly,tonight
10052,calm,3.04,Reflect quietly,tonight
10053,calm,3.36,Reflect quietly,tonight
10054,overwhelmed,3.49,Reflect quietly,tonight
10055,mixed,3.8,Reflect quietly,tonight
10056,focused,3.16,Reflect quietly,tonight
10057,overwhelmed,3.5,Reflect quietly,tonight
10058,overwhelmed,3.43,Reflect quietly,tonight
10059,mixed,3.23,Reflect quietly,tonight
10060,restless,3.04,Reflect quietly,tonight
10061,calm,3.3,Reflect quietly,tonight
10062,calm,3.28,Reflect quietly,tonight
10063,restless,3.59,Reflect quietly,tonight
10064,neutral,2.67,Reflect quietly,tonight
10065,neutral,3.75,Reflect quietly,tonight
10066,restless,2.57,Reflect quietly,tonight
10067,restless,3.65,Reflect quietly,tonight
10068,overwhelmed,3.17,Reflect quietly,tonight
10069,neutral,2.86,Reflect quietly,tonight
10070,calm,2.9,Reflect quietly,tonight
10071,mixed,3.03,Reflect quietly,tonight
10072,calm,3.09,Reflect quietly,tonight
10073,restless,2.94,Reflect quietly,tonight
10074,mixed,2.99,Reflect quietly,tonight
10075,restless,2.98,Reflect quietly,tonight
10076,mixed,2.96,Reflect quietly,tonight
10077,neutral,3.33,Reflect quietly,tonight
10078,restless,2.85,Reflect quietly,tonight
10079,restless,3.57,Reflect quietly,tonight
10080,calm,3.29,Reflect quietly,tonight
10081,restless,3.35,Reflect quietly,tonight
10082,neutral,2.95,Reflect quietly,tonight
10083,neutral,3.21,Reflect quietly,tonight
10084,overwhelmed,3.06,Reflect quietly,tonight
10085,restless,2.79,Reflect quietly,tonight
10086,neutral,3.21,Reflect quietly,tonight
10087,mixed,3.18,Reflect quietly,tonight
10088,neutral,3.33,Reflect quietly,tonight
10089,calm,3.06,Reflect quietly,tonight
10090,mixed,3.53,Reflect quietly,tonight
10091,neutral,3.64,Reflect quietly,tonight
10092,overwhelmed,2.9,Reflect quietly,tonight
10093,mixed,3.22,Reflect quietly,tonight
10094,focused,3.45,Reflect quietly,tonight
10095,overwhelmed,3.21,Reflect quietly,tonight
10096,overwhelmed,3.89,Reflect quietly,tonight
10097,mixed,3.17,Reflect quietly,tonight
10098,overwhelmed,3.67,Reflect quietly,tonight
10099,mixed,3.03,Reflect quietly,tonight
10100,mixed,2.83,Reflect quietly,tonight
10101,calm,3.28,Reflect quietly,tonight
10102,overwhelmed,3.16,Reflect quietly,tonight
10103,calm,3.76,Reflect quietly,tonight
10104,mixed,2.87,Reflect quietly,tonight
10105,neutral,3.69,Reflect quietly,tonight
10106,neutral,3.47,Reflect quietly,tonight
10107,restless,2.81,Reflect quietly,tonight
10108,mixed,3.38,Reflect quietly,tonight
10109,mixed,2.99,Reflect quietly,tonight
10110,calm,2.68,Reflect quietly,tonight
10111,mixed,3.66,Reflect quietly,tonight
10112,mixed,2.77,Reflect quietly,tonight
10113,calm,3.0,Reflect quietly,tonight
10114,neutral,2.76,Reflect quietly,tonight
10115,calm,3.11,Reflect quietly,tonight
10116,overwhelmed,2.1,Reflect quietly,tonight
10117,neutral,3.69,Reflect quietly,tonight
10118,focused,2.78,Reflect quietly,tonight
10119,mixed,3.21,Reflect quietly,tonight
10120,restless,3.36,Reflect quietly,tonight
